doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,debate_short_review,_source_file,_corpus_tier
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u003,"再过十几天,台湾即将要选出未来四年带领台湾中华民国的总统,有国际媒体说这是2024年全球最重要的选举之一。",claim,,"全世界高度关注台湾人民即将选出什么样的领导人,什么样的总统。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,c0254bebe4b4d323f9686f5c7061305c,FALSE,副总统辩论,,"再过十几天,台湾即将要选出未来四年带领台湾中华民国的总统,有国际媒体说这是2024年全球最重要的选举之一。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.655917764,,,FALSE,KEEP,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u004,"全世界高度关注台湾人民即将选出什么样的领导人,什么样的总统。",context,"再过十几天,台湾即将要选出未来四年带领台湾中华民国的总统,有国际媒体说这是2024年全球最重要的选举之一。","因为这个选择不只关系到台湾的未来,更关系着台湾是不是持续在正确的道路上和国际一起合作,壮大还是从世界脱队,成为风险的来源,这攸关全球的稳定跟繁荣。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,1858e58d289cc69978e9c928a02aae4f,FALSE,副总统辩论,,"全世界高度关注台湾人民即将选出什么样的领导人,什么样的总统。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.689948499,,,FALSE,KEEP,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u005,"因为这个选择不只关系到台湾的未来,更关系着台湾是不是持续在正确的道路上和国际一起合作,壮大还是从世界脱队,成为风险的来源,这攸关全球的稳定跟繁荣。",context,"全世界高度关注台湾人民即将选出什么样的领导人,什么样的总统。",我们告别22K走出经济上多年的困顿和停滞成为全球供应链的要角。,"[{""name"": ""吴欣盈"", ""party"": ""TPP""}, {""name"": ""民众党"", ""party"": ""TPP""}]",[],FALSE,,94bee1d981eeace761d541f4c22415c9,FALSE,副总统辩论,,"因为这个选择不只关系到台湾的未来,更关系着台湾是不是持续在正确的道路上和国际一起合作,壮大还是从世界脱队,成为风险的来源,这攸关全球的稳定跟繁荣。",TRUE,institution_only,FALSE,,FALSE,KEEP,0.65610069,,,FALSE,REVIEW,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u007,我们告别22K走出经济上多年的困顿和停滞成为全球供应链的要角。,context,"因为这个选择不只关系到台湾的未来,更关系着台湾是不是持续在正确的道路上和国际一起合作,壮大还是从世界脱队,成为风险的来源,这攸关全球的稳定跟繁荣。","在全球政治上更多国家选择和我们站在一起,因为合作带来更多的安全与机会然而国际局势的变化非常快速。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,af4820ad01697cc7172e8981eb5d2c3a,FALSE,副总统辩论,,我们告别22K走出经济上多年的困顿和停滞成为全球供应链的要角。,TRUE,institution_only,TRUE,gate: 2 inst terms,FALSE,REVIEW,0.270910114,,,TRUE,KEEP,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u008,"在全球政治上更多国家选择和我们站在一起,因为合作带来更多的安全与机会然而国际局势的变化非常快速。",context,我们告别22K走出经济上多年的困顿和停滞成为全球供应链的要角。,第一个变局是全球经济的结构性变化。,"[{""name"": ""吴欣盈"", ""party"": ""TPP""}, {""name"": ""民众党"", ""party"": ""TPP""}]",[],FALSE,,5c2252d804ac2275cff2c8b97d5b8fd2,FALSE,副总统辩论,,"在全球政治上更多国家选择和我们站在一起,因为合作带来更多的安全与机会然而国际局势的变化非常快速。",TRUE,institution_only,FALSE,,FALSE,KEEP,0.520377517,,,FALSE,REVIEW,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u010,第一个变局是全球经济的结构性变化。,context,"在全球政治上更多国家选择和我们站在一起,因为合作带来更多的安全与机会然而国际局势的变化非常快速。","这包括高科技供应链的重组、美中贸易战,以及俄乌战争下带来的全球经济放缓和通货膨胀。","[{""name"": ""吴欣盈"", ""party"": ""TPP""}, {""name"": ""民众党"", ""party"": ""TPP""}]",[],FALSE,,c0686bfcdd9985c23870d60c48d922f8,FALSE,副总统辩论,,第一个变局是全球经济的结构性变化。,TRUE,institution_only,FALSE,,FALSE,REVIEW,0.286698639,,,TRUE,REVIEW,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u011,"这包括高科技供应链的重组、美中贸易战,以及俄乌战争下带来的全球经济放缓和通货膨胀。",context,第一个变局是全球经济的结构性变化。,"中国内部社会经济情势的不透明,以及全球新冠疫情所带来的经济冲击都持续。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,71fbdcdf38c93a38b0a19427f0894134,FALSE,副总统辩论,,"这包括高科技供应链的重组、美中贸易战,以及俄乌战争下带来的全球经济放缓和通货膨胀。",TRUE,institution_only,TRUE,gate: 4 inst terms,FALSE,REVIEW,0.314080358,,,TRUE,KEEP,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u012,"中国内部社会经济情势的不透明,以及全球新冠疫情所带来的经济冲击都持续。",context,"这包括高科技供应链的重组、美中贸易战,以及俄乌战争下带来的全球经济放缓和通货膨胀。","当中,面对全球经济的变化,过去八年,蔡英文总统用对方法,六大核心产业的推动在净零永续成为世界先进产业发展的新标准趋势下,以安全效率的供应链取代低成本竞争的上一波全球经济。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,7a9b6abaaa5349bafae69391ea4f87f4,FALSE,副总统辩论,,"中国内部社会经济情势的不透明,以及全球新冠疫情所带来的经济冲击都持续。",TRUE,institution_only,TRUE,gate: 2 inst terms,FALSE,KEEP,0.448778659,,,TRUE,KEEP,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u013,"当中,面对全球经济的变化,过去八年,蔡英文总统用对方法,六大核心产业的推动在净零永续成为世界先进产业发展的新标准趋势下,以安全效率的供应链取代低成本竞争的上一波全球经济。",context,"中国内部社会经济情势的不透明,以及全球新冠疫情所带来的经济冲击都持续。","台湾逐渐站稳在全球供应链的关键角色,而且举足轻重、不可替代。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,9ea198ae10a21a75ef324d18493115ed,FALSE,副总统辩论,,"当中,面对全球经济的变化,过去八年,蔡英文总统用对方法,六大核心产业的推动在净零永续成为世界先进产业发展的新标准趋势下,以安全效率的供应链取代低成本竞争的上一波全球经济。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.428452045,,,TRUE,KEEP,,02_conference_datasets/vice_president_units.csv,3
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u014,"台湾逐渐站稳在全球供应链的关键角色,而且举足轻重、不可替代。",context,"当中,面对全球经济的变化,过去八年,蔡英文总统用对方法,六大核心产业的推动在净零永续成为世界先进产业发展的新标准趋势下,以安全效率的供应链取代低成本竞争的上一波全球经济。","我们增加了三成的公共建设预算,投资三大方案的政策继续在做,让我们整体的国力持续提升。","[{""name"": ""吴欣盈"", ""party"": ""TPP""}, {""name"": ""民众党"", ""party"": ""TPP""}]",[],FALSE,,a55b1a38b23fc32cdf3df8e3e736291f,FALSE,副总统辩论,,"台湾逐渐站稳在全球供应链的关键角色,而且举足轻重、不可替代。",TRUE,institution_only,FALSE,,FALSE,KEEP,0.459872007,,,FALSE,REVIEW,,02_conference_datasets/vice_president_units.csv,3
