camp,genre,L1,l2s,sent_text
DPP,news,L1-01,L2-04+L2-06,"曾柏瑜指出,趙少康還說「因為經濟不好才用電少」,事實上台股指數在民進黨執政屢創新高,目前是1萬7000多點,反觀國民黨執政時台股曾跌到4000多點,交棒給民進黨時只有8000多點。"
DPP,news,L1-06,L2-04+L2-06,"菲利佩六世強調,憲法是西班牙歷史上最重大的政治成功。"
KMT,news,L1-03,L2-04+L2-06+L2-08,"賴清德回應,蔡總統外交路線獲國際肯定,讓台灣贏得支持,也以民主自由人權為價值,與世界民主陣營站在一起,不依循國民黨老路。"
DPP,news,L1-03,L2-01+L2-04+L2-05+L2-06+L2-07+L2-08,"〔記者陳昀/台北報導〕今天是九三軍人節,副總統暨民進黨總統參選人賴清德在臉書表示,這是中華民國國軍傳承光榮歷史最具代表性的日子,感謝國軍與眷屬的犧牲奉獻,讓人民安居樂業,台灣位處對抗威權的第一線,國軍更是守護台海和平最前線,全體國人要團結一致對外做國軍最堅強的後盾,向世界展現台灣守護民主自由的決心。"
TPP,news,L1-02,L2-04+L2-06,"柯文哲說,回想8年前,小英當選總統第1次拿下本土政權那天,也替她高興,小英也說,沒有1位台灣人必須因為認同而道歉,說台灣從此變成一共融社會,全民和諧相處,但8年下來,讓人看到有些弊端,因此相信制度、不相信個人,對絕對權力讓人腐化感觸滿深。"
KMT,news,L1-01,L2-04+L2-05+L2-06+L2-07,"「韓國瑜沒有完成的事,讓侯友宜跟大家一起拚成功。」侯友宜說,翻轉台灣從鳳山開始,他這段時間常到高雄,高雄空污、能源、低薪、產業等問題不見改善,掃街時攤商抱怨陸客不來、沒有生意。"
TPP,news,L1-06,L2-04+L2-06+L2-08,"她提到,民進黨這8年來持續推動改革,例如2019年台灣成為亞洲第1個同婚合法化的國家,而在推動立法的過程中,各種紛擾、社會誤解、對立衝突都非常強烈;"
TPP,news,L1-01,L2-04+L2-06,"原能會:選址調查才是阻力 歐洲視核能為綠能投資 經部:台灣能源使用要過2關 經濟部強調,沒有核四的這20幾年,台積電成為「世界看到台灣製造」的關鍵詞,將兩者劃上等號,並不符合柯文哲歷來強調的科學精神。"
DPP,news,L1-07,L2-01+L2-04+L2-06+L2-07,"總統致詞表示,中華民國總統8年任期的最後一次元旦,無論是支持還是批判蔡英文,都要謝謝每一位台灣人民風雨同行走到今天,一起讓國家走到這裡,如果有人問她為台灣留下什麼,她會說「我留下了一個『世界的台灣』」。"
KMT,news,L1-03,L2-01+L2-04+L2-06+L2-08,"許淑華表示,中華民國國軍在金門誓死抵抗共軍,守住中華民國的存續,更守住台灣往後數十年,以扎實的經濟和民主自由,向世界民主同盟深化交流的基礎,這是身在台灣的任何政黨、任何人,都無法否定的歷史事實。"
KMT,news,L1-01,L2-02+L2-04+L2-06+L2-07,"針對兩岸服貿協議議題,賴清德則說,1997年香港回歸中國,結果失去全世界,台灣則是迎向世界走向未來,目前台股已經超過香港恆生指數,柯文哲真的認為過時的服務貿易協定、開放大量中生來台就業,會對台灣民眾更好嗎?"
KMT,news,L1-02,L2-04+L2-06+L2-08,"他指出,「如果信介仙在世,他會要民進黨阻擋疫苗嗎?他會認同民進黨卡台大校長嗎?」柯文哲說,自由時代週刊創辦人鄭南榕追求百分之百的言論自由,民進黨卻可以一邊紀念鄭南榕,一邊關中天電視台,精神分裂,讓人難以想像。"
KMT,news,L1-02,L2-04+L2-06+L2-07+L2-08,"民進黨總統參選人賴清德說,這場選舉是民主與專制的選舉,但賴清德錯了,因為中華民國的自由民主已經深化40年,民主自由早就是在大家的DNA當中,賴清德別再撕裂台灣。"
KMT,news,L1-01,L2-04+L2-05+L2-06+L2-07,"透過 Google News 蕭美琴也說,蔡總統執政8年,從股市、國內生產毛額(GDP)、出口的成長都可證明民進黨比國民黨懂得拚經濟,且長照預算、幼兒照顧預算都高出國民黨時期許多,現在全世界的主要工業國,都在去風險化,極力降低對中國的依賴,如果藍白贏了,台灣恐又要走上依賴中國的老路,好的政策也有被翻盤的風險。"
TPP,news,L1-03,L2-01+L2-02+L2-04+L2-05+L2-06,"蕭新煌提到,馬英九時代其實台灣非常委屈,台灣不是中國附庸,國際與台灣往來卻都要先問中國,而委屈達不到求全,這是不值得的委屈。"
DPP,news,L1-03,L2-01+L2-03+L2-04+L2-06,"開羅宣言80週年,國民黨召開記者會,未出席的國民黨副總統參選人趙少康透過影片表示,開羅宣言簽署80週年,是不可被否定的歷史事實,台灣與澎湖群島的主權不是「未定」,而是明確屬於中華民國,開羅宣言是中華民國歷史上的重大時刻,躍上國際舞台的象徵,任何否定中華民國擁有台灣主權管轄、主張台獨的政治語言,都是對歷史和法理地位的無視。"
DPP,news,L1-06,L2-04+L2-06+L2-07+L2-08,"陳弱水今天透過臉書表示,「臉書上不少人在祝中華民國生日快樂,看得有點頭昏,10月10日不是中華民國的生日!中華民國的生日是1月1日,中華民國成立於1912年1月1日,臨時大總統孫中山的政府把這天訂為『開國紀念日』。」 他接著說:「10月10日是湖北革命團體文學社、共進會和新軍分子前一年在武昌武裝起事的日子,如果打生物性的比喻,這要算什麼日呢?無論如何,袁世凱政府和臨時參議院覺得這一天很重要,在1912年9月28日把10月10日訂為『國慶日』。」 陳弱水直言:「這有貶抑孫中山在1月1日建立新政府的用意,不過北洋政府繼續承認『開國紀念日』,另外又訂2月12日為『宣布共和南北統一紀念日』(宣統在該日退位,帝制變為共和)。關於第三個紀念日,國民黨後來就不認帳了。台灣2023年在慶祝袁世凱訂定的節日,真的很奇幻!我們說不定需要一個能代表台灣新精神的節日,譬如『台灣民主紀念日』。」 10月10日為國慶日,國旗屋自辦國慶升旗典禮,民眾熱情參與。"
TPP,news,L1-06,L2-04+L2-06,反觀前總統馬英九執政時期一個邦交國都沒丟。
KMT,news,L1-03,L2-04+L2-06+L2-07,"退伍校友代表羅睿達表示,校友會組成傳統正步連,這次參加者平均年齡58歲,雖然已離開部隊多年,但在國軍精實訓練下,在營、在鄉均秉持黃埔精神,不管國家遇到任何危害也將當仁不讓,展現犧牲、團結、負責,落實全民國防。"
TPP,news,L1-07,L2-04+L2-06+L2-07,"賴清德競總發言人郭雅慧指出,4年前蔡總統和賴清德搭檔參選,以817萬票創下台灣史上總統選舉最高的得票紀錄,歷經4年,賴清德已經做好準備,準備握緊國政方向盤,繼續和蕭美琴一起為台灣,穩健地開向更遠、充滿希望的未來。"
DPP,news,L1-07,L2-04+L2-06+L2-08,"透過 Google News 賴清德說,2020年與屏東的女兒蔡英文總統搭檔參選,以歷史最高的817萬票當選,在屏東得票率超過6成2,其中有3個鄉鎮得票率超過7成,「屏東人支持的力量就是民進黨延續執政的力量,也是台灣民主的力量」。"
TPP,news,L1-03,L2-04+L2-06,"時任美國衛生部長艾薩(Alex Azar)、國務次卿柯拉克(Keith Krach)、眾議院議長裴洛西(Nancy Pelosi)陸續訪台,改寫斷交後訪台最高層級,都在她就任後陸續實現。"
DPP,news,L1-06,L2-04+L2-06+L2-07+L2-08,"賴清德:感謝蔡總統8年努力 留給我們更好的國家 2024/1/13 22:40 (1/13 22:44 更新) (中央社記者溫貴香、葉素萍、賴于榛台北13日電)民進黨總統候選人賴清德今晚出席勝選晚會致詞表示,感謝總統蔡英文8年來的努力,她實現了8年前「留給我們一個更好的國家」承諾,這就是為什麼蔡總統可以成為台灣歷史上,第一個完成「民主交棒,延續執政」的總統。"
KMT,news,L1-01,L2-04+L2-05+L2-06,"吳欣盈:台灣失落20年 服務業薪水不漲是綠營擋服貿 2024/1/1 15:09 (1/1 15:19 更新) (中央社記者郭建伸台北1日電)民眾黨副總統候選人吳欣盈今天在電視辯論會第1階段申論打出財經牌,並指服務業薪水不漲,就是ECFA的服貿部分被綠營擋下。"
KMT,news,L1-01,L2-03+L2-04+L2-05+L2-06+L2-07,"吳欣盈表示,台灣產業發展不平衡,收入往高科技產業傾斜,服務業和傳統製造業生產力低、賺不到錢,年輕人不敢結婚生子,更沒錢買房,對未來沒希望,「藍綠都沒有責任嗎?」 吳欣盈說,服務業薪水不漲,就是ECFA(兩岸經濟合作架構協議)的服貿部分被綠營擋下,台灣青年就業市場受到限縮,兩岸ECFA和全球的「自由貿易協定」,都禁止勞工「跨越邊境移動」,入境工作的幹部,政府都有嚴格管制,不應該誤導民眾,有工作權就有投票權。"
TPP,news,L1-03,L2-04+L2-06+L2-08,"柯文哲表示,第二階段是1996到2016年,1996年台灣首次總統直選,從那時起就建立台灣主體性,且每次投票台灣主體性就愈來愈強。"
DPP,news,L1-01,L2-04+L2-06+L2-07,"此外,總統說,縱然告別了前一個政府所留下的,電力備轉容量率只有1.64%的年代,縱然綠電的年度總發電量已經翻轉超越核電,但能源轉型仍然要加速進行。"
DPP,news,L1-02,L2-04+L2-06,"馬在「前南京總統府」時想自稱「中華民國總統」都要打擦邊球,藏在孫中山是「中華民國臨時大總統」之後,實在令國人失望。"
TPP,news,L1-06,L2-04+L2-06,"林宜正並指出,親民黨主席宋楚瑜日前至基金會致意時,特別談到,辜寬敏當年從日本回台後,曾向當時的行政院副院長蔣經國建議,為讓台灣團結,應該把身分證籍貫欄拿掉,改為出生地,這項建議不久就被落實,這是讓台灣進一步團結的典範,也是不同意識形態及不同政治理念的人共同完成的。"
DPP,news,L1-02,L2-04+L2-06,"〔記者李文馨/台北報導〕時代力量今(13)日上午回到8年前創黨的起點「台北新光三越站前廣場」,舉行街講開跑記者會,時力2015年創黨夥伴魏揚也現身表示,太陽花學運10年過去了,第三勢力的夥伴可能選擇不同的實踐道路,甚至是加入不同的政黨,他認為這沒有絕對的好與壞,而是能否堅持理想與價值,他認為「人可以轉換陣營,但請記得把價值隨身帶上。」 黨主席王婉諭表示,民進黨執政8年雖在外交主權上有所進展,"
DPP,news,L1-06,L2-01+L2-04+L2-06,"馬前總統今日參觀已被中共改成「中國近代史遺址博物館」的南京總統府時,看見會客廳牆上掛有中華民國國旗、青天白日旗、國父遺像時,當場向在場媒體表示,「我趁此機會和大陸朋友介紹一下,孫中山先生比我大98歲,在1912年成為中華民國臨時大總統,我在2008年也是當了『這個』...呃...(相差了)96年」。"
DPP,news,L1-01,L2-04+L2-06,"賴清德認為,李前總統當年提點的方向確實是近年台灣產業轉型的關鍵,賴在行政院長任內,人工智慧、物聯網科技等數位科技加速發展,台灣正從硬體代工跨入智慧應用的新領域,執政團隊提高科技預算,以行動支持科技發展,提升台灣產業的競爭力,也提供年輕人更多智慧創新的機會。"
TPP,news,L1-07,L2-04+L2-06,"1988年農民運動的訴求之一就是希望成立農業部,過了35年,今年5月16日立院三讀通過農業部組織法,農業部於今年8月1日正式揭牌成立,在目前需要雨水滋潤的今天,典禮在大雨中進行,陳吉仲致詞時全程都不撐傘,現場禮賓人員一度要拿傘為他擋雨,陳吉仲也婉拒,全程淋雨致詞贏得全場喝采。"
