camp,genre,L1,l2s,sent_text
TPP,news,L1-06,L2-01+L2-04+L2-06+L2-08,"黨政人士表示,蔡英文除了不像前兩任總統在第二任後期涉入弊案,或是陷入爭議性的議題,再加上她在總統任期內強化國防、總體經濟的成長,以及加入國際民主陣營,讓台灣被世界看見,並維持兩岸現況的穩定,都讓國人願意讓賴清德接續蔡英文路線,讓現有的執政團隊繼續協助治理國家。"
DPP,news,L1-03,L2-01+L2-04+L2-07+L2-08,"陳俊宇說,台灣經歷多次總統民選,無庸置疑是主權獨立國家,他進立法院後會堅定推動台灣國家正常化,汰除不合理的威權遺毒,不論透過徵選民眾創作或邀專家作曲填詞等,都要寫出符合台灣精神、凝聚台灣人向心力的新國歌。"
KMT,news,L1-06,L2-04+L2-08,"蔡總統路線是以台灣為優先,不去依循過去國民黨的老路,也以民主自由及人權為價值,與世界民主陣營站在一起。"
DPP,news,L1-06,L2-01+L2-04+L2-08,"〔記者許倬勛/新北報導〕《自由時代週刊》創辦人鄭南榕為爭取言論自由,於1989年4月7日清晨自焚殉道身亡,蔡英文總統為此將明日訂為「言論自由日」。"
DPP,news,L1-03,L2-01+L2-04+L2-05+L2-07+L2-08,"追思鄭南榕 賴清德:台灣不能再出現外來統治 2023/4/7 13:12 (4/7 14:01 更新) (中央社記者王朝鈺新北7日電)副總統賴清德今天說,台灣要避免再次出現過去黑暗年代,最重要就是絕對不能再出現外來的統治,要做自己的主人,面臨外來極權威脅,大家要團結一致,共同打拚守護台灣。"
DPP,news,L1-05,L2-01+L2-04+L2-08,"賴副總統致詞表示,鄭南榕追求不只是百分之百言論自由,也反對戒嚴追求民主,平反228事件,追求轉型正義,也追求台灣要做自己的主人,這些理想和目標,經過數十年一棒接一棒,已接近完成。"
DPP,news,L1-07,L2-04+L2-06+L2-07+L2-08,"去年立委補選,南投人用民主選票打敗地方勢力,這是值得驕傲的民主故事,這次總統和立委選舉,南投要再贏一次,守護民主台灣。"
TPP,news,L1-06,L2-01+L2-04+L2-07+L2-08,柯文哲:郭自己把話堵死 郭台銘若未獲徵召 柯文哲:所有議題都可合作 藍綠白總統選將就定位 賴清德盼對手有3項體認使命 2024三腳督成形 賴清德侯友宜柯文哲520拚場 民進黨團指若選總統應辭職 侯友宜未正面回應 侯友宜:與郭台銘管中閔有共同價值與理念 可並肩作戰 2024大選 賴清德組織戰、青年團與社群平台拓票源 柯文哲與美代表團會面 強調台美關係不因誰執政改變 諾魯與台灣斷交 柯文哲:遺憾但不與中國惡性競爭 柯辦推「我相信」廣告 盼以人民力量實踐政黨輪替 民眾黨點名政商關係密切 三立東森:無端不實指控 2025/05/24 13:14 2025/05/23 10:31 2025/05/22 15:22 2025/05/21 19:20 2025/05/20 12:01 2025/05/20 11:57
DPP,news,L1-03,L2-04+L2-07+L2-08,"「但是自由民主是會失去的」游錫堃說,根據美國倡議團體自由之家統計,17年來,全球有60個國家的民主退步,他引用美國第三任總統傑佛遜的名言「自由的花朵,需要經常用暴君和愛國者的鮮血澆灌」正因它會失去,若我們不去守護捍衛,下一代的子孫就得像蔣渭水一樣用血淚爭取。"
TPP,news,L1-06,L2-04+L2-07+L2-08,"朱立倫則說,這次合作不單是第三波民主,從聯合競選到未來組成聯合政府,都能更匯聚更多力量,讓台灣更好。"
