camp,genre,L1,l2s,sent_text
KMT,news,L1-06,L2-04+L2-07+L2-08,"侯友宜說,台灣第三波民主改革是為了建立典範,這是重要里程碑,如何讓人民重新信任政府很重要,領導人要有誠信,建立典範就是為了團結大家。"
TPP,news,L1-06,L2-07+L2-08,"林為洲說,希望台灣能夠建立政黨輪替的典範,讓台灣能夠有新視野、維護兩岸和平、促進經濟繁榮,這是侯友宜這次拜會提出的政策方向。"
TPP,news,L1-04,L2-04+L2-07+L2-08,"謝子涵表示,她是一個在台北擔任政治幕僚的台中人,10年前,她首次參與社會運動,與數十萬名年輕人站在立法院外,一起反對服貿,一起爭取台灣的民主與未來,後來決定投入政治工作,因為相信「民主的時代,不應該依賴偉人和英雄,只要投入政治,只要關心公共事務,每個人都可以成為自己的英雄」,相信行動真的可以帶來改變!"
TPP,news,L1-06,L2-05+L2-07+L2-08,"藍白政黨協商共識:民調決勝負 18日公布結果 藍白協商民眾黨退讓 柯文哲:心情不好但更痛恨民進黨 國民黨主席朱立倫說,這次合作不單是第三波民主,從聯合競選到未來組成聯合政府,都能更匯聚更多力量,讓台灣更好。"
DPP,news,L1-03,L2-02+L2-05+L2-06+L2-07+L2-08,"賴清德說,這次總統選舉是全世界最重要、最關鍵一場選舉,台灣站在民主和集權對抗第一線,也站在西太平洋第一島鏈守護民主最重要位置,13日不只選出國家領導人、決定台灣未來方向,也關係國際局勢變化和印太地區和平穩定,全世界都在看台灣人民的選擇。"
KMT,news,L1-01,L2-07+L2-08,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。"
TPP,news,L1-06,L2-07+L2-08,"國安局也呼籲,大選進入白熱化階段,請民眾參與造勢或掃街等競選活動時,理解維安的必要性與重要性,配合相關安全管制措施,避免熱情過激行為,以利民主選舉活動平和進行。"
TPP,news,L1-06,L2-01+L2-04+L2-07+L2-08,柯文哲:郭自己把話堵死 郭台銘若未獲徵召 柯文哲:所有議題都可合作 藍綠白總統選將就定位 賴清德盼對手有3項體認使命 2024三腳督成形 賴清德侯友宜柯文哲520拚場 民進黨團指若選總統應辭職 侯友宜未正面回應 侯友宜:與郭台銘管中閔有共同價值與理念 可並肩作戰 2024大選 賴清德組織戰、青年團與社群平台拓票源 柯文哲與美代表團會面 強調台美關係不因誰執政改變 諾魯與台灣斷交 柯文哲:遺憾但不與中國惡性競爭 柯辦推「我相信」廣告 盼以人民力量實踐政黨輪替 民眾黨點名政商關係密切 三立東森:無端不實指控 2025/05/24 13:14 2025/05/23 10:31 2025/05/22 15:22 2025/05/21 19:20 2025/05/20 12:01 2025/05/20 11:57
DPP,news,L1-06,L2-02+L2-06+L2-07+L2-08,"〔記者陳昀/台北報導〕民進黨今正式提名黨主席賴清德參選總統,賴於會後發表談話提出民主團結、民主治理、民主和平3大行動,台灣沒有統獨問題,民主才是最大共識,2024將是民主與專制的抉擇,他會在與蔡英文總統相同的民主道路下持續壯大民主台灣,台灣一定是民主世界的MVP,大家一起加油。"
DPP,news,L1-03,L2-04+L2-07+L2-08,"但是掌權之後都變得專制,游更援引美國總統傑佛遜的名言「自由的花朵需要經常用愛國者和暴君的鮮血來澆灌」呼籲大家投給賴清德、讓立委國會過半,才能守護得來不易的自由民主,讓台灣繼續走在正確道路上。"
