camp,genre,L1,l2s,sent_text
KMT,news,L1-07,L2-04+L2-06+L2-07,"超級星期天 侯友宜高喊要對得起蔣經國、就一定要贏 2024/1/7 19:44 (1/8 07:28 更新) (中央社記者高華謙高雄7日電)2024總統選戰進入倒數,國民黨今天傍晚在高雄舉行大型造勢晚會,總統候選人侯友宜全程以台語演說並大打「經國牌」。"
TPP,news,L1-06,L2-04+L2-05,"且在野黨還意圖重啟特偵組,當年馬王政爭就與特偵組有關,造成政局不穩、經濟不安、社會動盪。"
DPP,news,L1-03,L2-04,"郭倍宏早年是台獨黑名單,1989年偷渡回台,現身台北縣立委盧修一政見會場,卻在重重警力下安然逃脫、再度離台,全國嘩然;"
KMT,news,L1-02,L2-04+L2-05,"達賴喇嘛西藏宗教基金會董事長格桑堅參強調,1951年西藏與中國簽署和平協議,僅8年時間中共就撕毀協議內容,對西藏政治、經濟制度進行改革,1959年藏人在西藏首都拉薩抗議中共統治的殘酷暴政,中共以武力鎮壓西藏,已經過了64年了,當年西藏合法政府流亡印度,那一天也是藏人失去自由的國恥日。"
KMT,news,L1-06,L2-04+L2-07,"這是民進黨為解決政治世代斷層,4年前推出的「國務青人才培育計畫」,今年共選拔出22人,全台輔選黨籍立委參選人,參與的年輕人目前皆在大專院校就學,其中,就讀東海大學政治系的林同學表示,因2018年立委陳柏惟被罷免,讓他很不滿,開始參與政治,未來希望能從事政治工作,改變台灣。"
DPP,news,L1-06,L2-01+L2-04+L2-08,"〔記者許倬勛/新北報導〕《自由時代週刊》創辦人鄭南榕為爭取言論自由,於1989年4月7日清晨自焚殉道身亡,蔡英文總統為此將明日訂為「言論自由日」。"
DPP,news,L1-04,L2-04,"人權館為讓民眾瞭解鄭南榕的主張與精神,並記錄下當時台灣的白色恐怖歷史,藉數位科技完成自由雜誌社的3D建模檔案,建置360度環景網站,民眾只要透過電腦或智慧型手機,點選網頁物件認識鄭南榕與當時的時代背景,並搭配包含中文、台語、客語、英語及日語5種語音導覽,就可身歷其境踏入自由雜誌社。"
DPP,news,L1-03,L2-04+L2-05+L2-07,"副總統說,台灣此時此刻面臨外來極權威脅時,大家要充分感受到鄭南榕的精神,團結一致,共同打拚守護台灣。"
TPP,news,L1-04,L2-04+L2-07+L2-08,"謝子涵表示,她是一個在台北擔任政治幕僚的台中人,10年前,她首次參與社會運動,與數十萬名年輕人站在立法院外,一起反對服貿,一起爭取台灣的民主與未來,後來決定投入政治工作,因為相信「民主的時代,不應該依賴偉人和英雄,只要投入政治,只要關心公共事務,每個人都可以成為自己的英雄」,相信行動真的可以帶來改變!"
TPP,news,L1-06,L2-04+L2-06+L2-07,"柯文哲也提到國家今天變成這樣,「認真」是一種文化,但民進黨政府都是「炒短線」,在2000年前,台灣滿有活力,亞洲四小龍第一,但2000年後,台灣民主化與總統民選後,國家愈來愈差,愈來愈沒有力量。"
TPP,news,L1-03,L2-04+L2-05+L2-06,"九二共識是兩岸談判基礎,也維持談判了20幾年,為何現在不談,還倒退到兵戎相見,那就是因為民進黨執政當局對「一中各表」進行了偷樑換柱,故意代換成「兩個中國」、「一中一台」、「一邊一國」等說法,並在創造流傳這些說法過程中,進行仇恨動員,製造族群對立,撕裂台灣。"
DPP,news,L1-02,L2-04,"游錫堃說,從中國出身的政治人物,起初都說要建立民主,但掌權後卻開始專政,包括與革命同伴鬧翻的孫中山、隨國民黨政府來台的蔣中正,更遑論中國的毛澤東、周恩來都是如此,這些人做的和講的都不同。"
KMT,news,L1-03,L2-04,"我擔任總統期間,「九二共識」是雙方之間非常重要的政治基礎,對我們很有用,,不但從來不用考慮戰爭發生的情況在生活的方方面面都擴大了和平接觸,這可能才是最好的方式。"
KMT,news,L1-06,L2-01+L2-04+L2-06+L2-08,"紐約中華公所主席曾偉康說:「隨著侯市長踏上通往中華民國總統之路,我們作為海外僑胞,深感自豪地歡迎他蒞臨紐約和訪問紐約中華公所。紐約僑胞堅定支持自由、民主和中華民國台灣地區永恆精神的原則,這與孫中山先生的三民主義理念相一致。」 侯友宜一行參觀中華公所後到鄰近的哥倫布公園,向永久豎立在中山廣場的國父孫中山銅像行三鞠躬禮,隨後參加由國民黨美東地區僑學界侯友宜後援總會主辦、席開近40桌的晚宴。"
TPP,news,L1-06,L2-04,"黨內人士轉述,柯建銘重述歷史因素,包括當初立法院黨團有提4點聲明,不能自動生效、不能全案表決等,柯建銘強調,歷史因素都還在。"
KMT,news,L1-02,L2-04,"柯文哲表示,他最近讀到前總統陳水扁1985年的「黨外切莫國民黨化」文章,裡面寫道,「有的黨外人士真的是選舉掛帥,以當選公職並且保住公職為加入黨外的最大目的。這些人雖然也標榜黨外的理念,可是這些理念只是副業,只居於其次的地位,真正重要的是公職的地位,以及公職地位所帶來的個人好處」。"
DPP,news,L1-05,L2-04+L2-07+L2-08,"金三角文化基金會董事長王根深表示,孤軍後裔將中華民國視為祖國,卻因政策關係,既無身分證,也沒有健保,只能打黑工.問題糾葛幾十年,其祖父和父執輩為國家犧牲奉獻,子女卻未能被真正照顧到,以前的政府沒有好好處理,現在台灣是一個民主開放的國家,希望讓他們得到一個基本合法的生存權利。"
TPP,news,L1-03,L2-01+L2-04+L2-05+L2-06+L2-07+L2-08,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。"
DPP,news,L1-03,L2-01+L2-04,"透過 Google News 與會的政治大學外交系教授黃奎博提到,總統蔡英文上任後,從上到下一直在講「中華民國台灣」,甚至連外交部都這樣講,過去外交部努力拓展中華民國國際空間,不會額外加油添醋質疑自己的主權地位,讓社會更形分裂,何況翻遍憲法與中華民國的法律規章,都沒有「中華民國台灣」的法律依據。"
DPP,news,L1-06,L2-04+L2-06+L2-07+L2-08,"陳弱水今天透過臉書表示,「臉書上不少人在祝中華民國生日快樂,看得有點頭昏,10月10日不是中華民國的生日!中華民國的生日是1月1日,中華民國成立於1912年1月1日,臨時大總統孫中山的政府把這天訂為『開國紀念日』。」 他接著說:「10月10日是湖北革命團體文學社、共進會和新軍分子前一年在武昌武裝起事的日子,如果打生物性的比喻,這要算什麼日呢?無論如何,袁世凱政府和臨時參議院覺得這一天很重要,在1912年9月28日把10月10日訂為『國慶日』。」 陳弱水直言:「這有貶抑孫中山在1月1日建立新政府的用意,不過北洋政府繼續承認『開國紀念日』,另外又訂2月12日為『宣布共和南北統一紀念日』(宣統在該日退位,帝制變為共和)。關於第三個紀念日,國民黨後來就不認帳了。台灣2023年在慶祝袁世凱訂定的節日,真的很奇幻!我們說不定需要一個能代表台灣新精神的節日,譬如『台灣民主紀念日』。」 10月10日為國慶日,國旗屋自辦國慶升旗典禮,民眾熱情參與。"
