unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,source,date,target_l1,sample_score,score_reasons,sampling_reason
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,01_Ho_ltn_news,2023-10-03 11:58:35,L1-14,12.8,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-05|l2_L2-10|l2_L2-11|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_5e83e31eaafd_u014,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",False,,02_Ke_chinatimes_news,2023-07-05 09:01:00,L1-14,12.8,l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-08|l2_L2-10|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,02_Ke_ltn_news,2023-10-03 11:58:35,L1-14,12.8,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-05|l2_L2-10|l2_L2-11|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_ltn_news,2023-10-03 11:58:35,L1-14,12.8,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-05|l2_L2-10|l2_L2-11|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_5e83e31eaafd_u014,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",False,,03_Lai_chinatimes_news,2023-07-05 09:01:00,L1-14,12.8,l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-08|l2_L2-10|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_b0e011a7bee2_u019,"至於領導國家的自我期許,賴清德說,他會在國際上推動價值外交,以民主和平繁榮等普世價值,來跟國際社會紀行更深更穩固的連結;",claim,"在此次疫情就可看到,Taiwan Can Help、Taiwan is Helping這種精神,是可以幫助國際社會的。","其次是推動國家希望工程,希望能結合台灣社會各界的力量,將台灣打造為民主和平的台灣、創新繁榮的台灣,以及公義永續的台灣。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_chinatimes_news,2023-08-24 22:05:00,L1-14,10.3,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-10|has_speaker|has_target|claim|good_length,l1_gap_filling
_349444b127e0_u009,"第三是推動國家希望工程,賴清德指出,要在蔡總統八年執政基礎上,持續讓台灣在全球變動局勢下穩健發展,成為國際社會穩定而不可或缺的力量,不論是價值外交、穩定兩岸、國防自主、經濟升級、能源轉型、青年投資、居住正義、教育平權等,零到六歲國家一起養、長照3.0等,通通都要繼續做、做更多、做更好。",claim,"賴清德說,第二個保證是「民主治理」,他要組成用人唯才、不分黨派,最能因應挑戰、開放包容的新政府,汲取在野黨意見,團結民意、壯大台灣,未來台灣還要面對國內外許多挑戰,國人要對抗的不是彼此,而是共同的困境。","賴清德說,第四是「堅持理想、永不放棄」,壯大台灣、照顧人民是堅定的理想,也是每一天的工作,「清廉、勤政、愛鄉土」不是掛在牆上的七個字,是放在心裡時時警惕的,做得不夠多、不夠快的,民進黨檢討改進,有人犯錯也絕對不會包庇寬貸,他們不完美,但一定會做最能回應民意的政黨,才對得起人民的託付。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",False,,03_Lai_ltn_news,2024-01-12 05:30:00,L1-14,10.3,l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-10|l2_L2-12|l2_L2-13|has_speaker|has_target|claim|good_length,l1_gap_filling
_51c7c9109a8a_u006,"蔡英文表示,今日民主蓬勃的台灣,是堅定實踐以良善治理為內涵的民主而獲得的成果,台灣的經驗不只述說我們維護民主的生活方式,也表達我們勇於承擔維護區域與世界和平穩定的責任,從提供人道援助到透過綠能保護地球,從教育交流、實務訓練到協助重組全球供應鏈,台灣不只有地緣政治的重要性,也被視為國際社會不可或缺的一員。",claim,"「面對這樣的挑戰,我們必須保持團結,遏制並阻止這種挑釁行為。」蔡英文強調,歷史和共同經驗不斷提醒我們,自滿和冷眼姑息會讓威權者更加肆無忌憚,過去幾十年來台灣一直站在對抗威權挑戰的最前線,而我們對民主的堅持是前所未有的堅定。","蔡英文表示,台灣人民對民主的承諾是前所未有的堅定,並深知民主是永久且唯一的路,在台灣以堅韌和勇氣因應中國威脅之際,我們與理念相近國家的夥伴關係,即是最有效的防禦措施。",[],[],False,,02_Ke_ltn_news,2023-05-16 06:22:33,L1-14,10.3,boundary_semantic|l2_L2-02|l2_L2-04|l2_L2-05|l2_L2-10|l2_L2-12|has_speaker|has_target|claim|good_length,l1_gap_filling
_d56a00cb10f0_u006,"他說,他將用過去8年在台北市政府的公務經驗及從醫30年的良知與專業,踏出改革之路,需要解決人口危機、改善勞動條件、提高高等教育投資、守護醫療品質、落實居住正義、確保能源穩定、建立產業韌性、杜絕債留子孫,打造共融社會。",claim,"柯文哲認為,他在台灣政壇所代表的是理性、務實、科學,透過每一天實踐落實在人民生活之中,選擇柯文哲不是選擇一個候選人,而是選擇過去這10年來,台灣社會所渴望的進步與公義。","同時,他也要強化民主核心價值,他認為,這是台灣在世界舞台上最重要的資產,也是抗衡地緣政治壓力的唯一解方,「民主,是中華民國可以安全的最大保障」。",[],[],False,,02_Ke_chinatimes_news,2023-12-30 16:46:00,L1-14,9.3,boundary_semantic|l2_L2-04|l2_L2-05|l2_L2-12|l2_L2-15|has_speaker|has_target|claim|good_length,l1_gap_filling
_8dd8b5738117_u004,"他還大言不慚地說,去年在黨的領導下,中國「經濟保持增長」、「就業物價基本穩定」、「民生保障紮實」、「社會大局穩定」,應對疫情也是「最大程度守護人民生命安全和身體健康,最大限度減少對經濟社會生活的影響」。",claim,"針對去年10月被外界譏為確立習近平「帝制」的中共第二十次全國代表大會,習近平沾沾自喜表示「我們勝利召開了黨的二十大,確立了全面建設社會主義現代化國家的宏偉藍圖」。","習近平的說法,彷彿近幾個月在中國傳出的動盪不安、醫療系統崩潰、搶藥等亂象,是另一個平行時空發生的事。",[],[],False,,03_Lai_ltn_news,2023-01-20 19:02:50,L1-14,9.3,boundary_semantic|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|has_speaker|has_target|claim|good_length,l1_gap_filling
