unit_id,sentence,role,prev,next,speakers,targets,source,date,target_l1,sample_score,sampling_reason
_cd49f6a3cdd9_u001,"(記者劉信德攝) 2023/07/29 22:10 〔記者陳政宇/台北報導〕前總統李登輝百年誕辰紀念新書發表暨學術討論會今(29)日登場,李登輝基金會董事長李安妮表示,「歷史」具有被遺忘性,甚至是歷經民主化的70歲老先生,都可以忘卻民主、並說「民主可以當飯吃嗎」,她期盼活化李登輝所留下的歷史文化價值,幫助大家成為一個有歷史感、有記憶的人。",claim,"「民主與民主之外-李登輝百年誕辰紀念新書發表暨學術討論會」,李登輝基金會董事長李安妮致詞。","今年適逢李登輝百歲誕辰暨逝世三週年,國史館今舉辦新書、資料庫發表暨學術討論會,藉此緬懷李登輝,也回顧台灣民主發展的來時路。",[],[],03_Lai_ltn_news,2023-07-29 22:10:16,L1-04,12.3,round3_gap_filling
_119f85544694_u005,"賴清德說,他會擴大海洋新國門,過去在地方和中央密切配合下,基隆已成功脫胎換骨,成為國際郵輪的母港據點,他也會繼續完成大基隆歷史場景再現計畫,串聯基隆的山與海,修復4處市定古蹟和2處歷史建築,找回在地生活記憶,成為基隆文化、觀光的養分。",claim,"賴清德說,他要打造「基隆河谷黃金廊帶」,配合未來的基隆捷運,希望將基隆河沿岸五堵、六堵和七堵貨櫃儲存場搬到台北港附近,騰出的土地可配合未來的基隆捷運各站開發,轉型成為都會科學園區,「基隆河谷黃金廊帶」將為基北北創造3贏局面。","透過 Google News 賴清德說,他會大幅增加社會住宅,實現居住正義,而新北市塭仔圳市地重劃區面積約400公頃,新北市長、國民黨總統候選人侯友宜卻只規劃蓋2100戶社宅,如果能用5%的土地面積興建社宅,可以再增加1萬戶以上,如果地方政府沒有能力興建,可以把土地用成本價賣給中央「由清德來蓋」。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-12-24 18:45:00,L1-04,12.3,round3_gap_filling
_d412b509d425_u009,"他說,台北過去也一直是「對抗殖民統治」的動力所在,台北市定古蹟「台灣新文化運動紀念館」紀念蔣渭水在內當時的一群年輕人,對抗殖民統治的民族精神,「那時就有許多的前輩到大陸接受教育,可見兩岸、可見台北與上海的關係,始終都與大時代緊密關聯。」 蔣萬安說,歷史是延續的,現實是發展的。",claim,"蔣萬安接著表示,上海與台北相像,「過去都經歷過帝國主義的侵略,也都有過為民族的榮光奮鬥」,就像「上海淞滬會戰見證了國軍的愛國精神,也見證了上海市民的熱血澎湃」。","「我們要往前走,在現實中隨時調整腳步,因應對策」。",[],"[""兩岸|cross-strait""]",02_Ke_chinatimes_news,2023-08-29 19:46:00,L1-04,12.3,round3_gap_filling
_ff4754bd104f_u001,"(史明教育基金會提供) 2023/12/10 21:55 〔駐日特派員林翠儀/東京10日報導〕被稱為台獨「歐吉桑」的台灣獨立運動先驅史明(本名施朝暉),位於東京的故居修復完畢正式開幕,史明教育基金會等台日相關團體選在10日世界人權日,於史明的母校早稻田大學舉辦「東京新珍味史明紀念館」開館講演會,蔡英文總統在史明晚年與他互動密切,今天透過影片跨海祝賀,感謝他為台灣留下一座充滿歷史記憶與象徵的建築。",claim,"10日正式開幕的「東京新珍味史明紀念館」一角,陳列史明的照片。","史明的故居「新珍味」是位於東京池袋西口的街角的一家中式餐館,於1955年開業,史明經營新珍味不但為了生計,也攢下大筆的建國資金,這裡也是他撰寫「台灣人四百年史」的地方,過往更是台獨運動者聚集的建國基地,現今仍吸引很多台灣有志之士來朝聖。",[],[],03_Lai_ltn_news,2023-12-10 21:55:43,L1-04,12.3,round3_gap_filling
_10d1ed299d47_u023,"因為有張芳瑜,「今年美國亞洲小姐第一次有台灣代表,看到她站上這麼大的舞台真的很激勵人心,她激發了全世界許多年輕女孩支持台灣,為台灣加油。」(編輯:陳慧萍)1121120 俄國佳麗選美穿大紅禮服 烏克蘭小姐怒斥鮮血色 環球小姐選美首次 2跨性別佳麗同台爭豔 台灣佳麗受中國打壓 檳城大會無法上台委屈落淚 挺過中國打壓 台灣佳麗高曼容國際選美賽獲4獎 「熱炒」躍然紙上 梁楷平用插畫尋找文化記憶 歷來最年長法國小姐 34歲空服員摘下后冠 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"透過 Google News 林以心說:「Tiffany是台灣的光榮,她一步一步帶著台灣參加不同層級的競賽,台灣以她為榮。」 杜若薇說,",,[],[],03_Lai_chinatimes_news,2023-11-20 10:40:00,L1-04,11.8,round3_gap_filling
_7c95ff64186d_u005,"龔正還說,「民族復興,國家強盛,兩岸中國人才能過上富足美好的生活」,他相信「歷史不能選擇,現在可以把握,未來可以開創」,只要和衷共濟,共同奮鬥,「就可以共創中華民族偉大復興的美好未來。」 蔣萬安以「雙城好,兩岸好」為主題發表演講,他以「江湖行舟」形容兩岸關係,認為不該是「過盡千帆皆不是」,但也不應該一廂情願的認為「輕舟已過萬重山」,而是要在困難中找尋方向,在迷霧中要冷靜思索,雙城論壇以務實、理性、誠懇的對話,持續各領域的交流合作,「雙城好、兩岸好」的期待必定可為。",claim,"而龔正繼昨天提到「血濃於水」,今天致詞再一次說「兩岸同胞血濃於水,手足情深」,要和平、發展、交流、合作,是「兩岸民族」的共同心聲,將以更開放、更務實的舉措,讓更多的台灣民眾到中國、上海看一看,尤其是對台灣青年人在上海發展提供更加有利的幫助。","台北市長蔣萬安與上海市長龔正在見證MOU簽署後,合影留念,蔣萬安還邀請龔正在舞台上一起自拍合照。",[],"[""兩岸|cross-strait""]",01_Ho_ltn_news,2023-08-30 11:07:44,L1-04,11.8,round3_gap_filling
_2262e5a23bba_u008,"近來,賴清德萬里老家違建爭議延續,他在政見發表會當場宣示,願意把房子交付公益信託,優先做為「礦工生活紀念館」。",context,"88槍擊案開槍和幕後的人都抓到了,都和國民黨有關。","賴清德更把矛頭指向侯友宜的「大群館」,以及柯文哲被指將農地闢建停車場非法收取租金,問柯侯是否願意跟進、交付公益信託。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""政見發表會|procedure""]",03_Lai_chinatimes_news,2023-12-20 21:59:00,L1-04,11.3,round3_gap_filling
_4b8e0711338d_u002,"而這段歷史的主舞台就位於前空軍桃園基地,市府於二○一六年將包括黑貓中隊棚廠在內的七處建築設施群指定為市定古蹟,並在文化部、國防部協助下,共投入六.四五億元經費正進行古蹟修復、活化,「再造歷史現場」,並長期規劃發展成為航空城博物館園區,期望未來開放國人參觀時,能感受到前人以青春、血淚乃至生命為代價而換來的國家安定,認知沒有廉價的國防。",context,"(擷取自前桃園空軍基地設施群臉書) 2023/07/11 05:30 曾被列為絕對機密,一九六○、七○年代,我國空軍黑貓中隊與美國中央情報局合作執行二二○次穿越鐵幕偵蒐的英勇事蹟一度被塵封,直到美國與我軍方陸續解密後,這段以血淚、青春與生命澆灌的鮮活歷史才得以進入世人眼簾;","「前空軍桃園基地設施群」見證台灣的國防歷史及台海的戰爭與和平,市府於二○一六年公告指定市定古蹟,經桃園國際機場園區及附近地區特定區計畫(航空城都市計畫)劃定為七處古蹟保存區,面積廣達十三.七公頃,保存六十餘棟建築與設施物;",[],[],01_Ho_ltn_news,2023-07-11 05:30:00,L1-04,11.3,round3_gap_filling
_fde8a788585c_u000,"返成大追思黃崑巖 賴清德:他交給台灣國際級醫學院 2023/12/11 14:33 (12/11 19:31 更新) (中央社記者葉素萍台北11日電)副總統賴清德今天回到母校成大醫學院,參加創院院長黃崑巖90歲冥誕紀念活動,他感謝過去師長的教導,感念黃崑巖建立尊嚴、自主、奉獻的醫學院文化,培養具備人權、人文、人本等素質的醫生,交給台灣社會一個國際級醫學院。",context,,"賴副總統這項行程未事先公開,總統府會後發布新聞稿。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-12-11 14:33:00,L1-04,11.3,round3_gap_filling
_2262e5a23bba_u008,"近來,賴清德萬里老家違建爭議延續,他在政見發表會當場宣示,願意把房子交付公益信託,優先做為「礦工生活紀念館」。",context,"88槍擊案開槍和幕後的人都抓到了,都和國民黨有關。","賴清德更把矛頭指向侯友宜的「大群館」,以及柯文哲被指將農地闢建停車場非法收取租金,問柯侯是否願意跟進、交付公益信託。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""政見發表會|procedure""]",01_Ho_chinatimes_news,2023-12-20 21:59:00,L1-04,11.3,round3_gap_filling
